Year,Primary County,Dual Eligible,Major Diagnostic Category,Episode Disease Category,Beneficiaries with Condition,Beneficiaries with Admissions,Total Inpatient Admissions,Beneficiaries with ER Visits,Total ER Visits
2012,Orleans,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,21,10,15,6,16
2012,Orleans,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,21,15,24,9,20
2012,Orleans,Non-Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,21,19,35,18,57
2012,Oswego,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,21,11,15,12,45
2012,Otsego,Non-Dual,HIV Infection,HIV Disease,21,6,16,13,51
2012,Otsego,Non-Dual,Substance Abuse,Delirium Tremens,21,21,42,13,42
2012,Putnam,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,21,11,19,8,24
2012,Putnam,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,21,13,36,12,47
2012,Putnam,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Other Cardiovascular Diagnoses - Major,21,13,28,9,19
2012,Putnam,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,21,16,48,18,78
2012,Rensselaer,Non-Dual,Newborns And Other Neonates,Prematurity - Birthweight 750 - 999  Grams,21,15,21,12,28
2012,Schenectady,Non-Dual,Newborns And Other Neonates,Prematurity - Birthweight 750 - 999  Grams,21,16,21,5,17
2012,Schoharie,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,21,20,32,16,36
2012,Schuyler,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,21,6,7,9,17
2012,Seneca,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,21,16,36,13,43
2012,Steuben,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,21,9,17,13,43
2012,Tioga,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,21,8,26,4,30
2012,Tompkins,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,21,3,4,0,0
2012,Warren,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,21,16,28,13,30
2012,Warren,Non-Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,21,18,48,19,102
2012,Washington,Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,21,4,6,7,25
2012,Washington,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,21,8,16,14,56
2012,Wayne,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,21,10,13,10,25
2012,Wayne,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,21,14,20,9,36
2012,Wyoming,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Other Cardiovascular Diagnoses - Major,21,12,31,7,68
2012,Albany,Dual,Diseases And Disordes Of The Respiratory System,Tracheostomy Status,22,19,52,16,40
2012,Allegany,Non-Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,22,6,9,11,36
2012,Allegany,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,22,8,21,12,48
2012,Broome,Dual,Substance Abuse,Delirium Tremens,22,20,36,12,72
2012,Cattaraugus,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,22,14,40,11,39
2012,Cayuga,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,22,7,14,15,51
2012,Chautauqua,Dual,Substance Abuse,Cocaine Abuse,22,14,21,13,48
2012,Chautauqua,Non-Dual,Diseases And Disordes Of The Respiratory System,Major Respiratory Anomalies,22,11,16,9,14
2012,Chemung,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,22,19,63,17,93
2012,Chenango,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,22,15,35,11,74
2012,Chenango,Non-Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,22,12,15,15,54
2012,Cortland,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,22,19,45,17,45
2012,Delaware,Non-Dual,Substance Abuse,Delirium Tremens,22,22,51,19,98
2012,Delaware,Non-Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,22,19,37,15,73
2012,Essex,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,22,16,22,13,32
2012,Essex,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,22,13,20,10,42
2012,Essex,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,22,9,18,14,43
2012,Franklin,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,22,14,52,16,77
2012,Genesee,Dual,Diabetes Mellitus,Diabetic Retinopathy,22,12,14,8,27
2012,Genesee,Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,22,17,23,10,33
2012,Genesee,Dual,Substance Abuse,Opioid Abuse,22,10,27,9,43
2012,Genesee,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,22,14,41,17,87
2012,Greene,Dual,Diseases And Disorders Of The Cardiovascular System,Defibrillator Status,22,13,19,7,13
2012,Greene,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,22,20,30,7,16
2012,Greene,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,22,12,19,14,46
2012,Jefferson,Dual,Diseases And Disorders Of The Cardiovascular System,Defibrillator Status,22,6,10,3,3
2012,Lewis,Dual,Substance Abuse,Chronic Alcohol Abuse,22,13,16,7,18
2012,Livingston,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,22,7,10,9,50
2012,Livingston,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,22,14,23,11,36
2012,Madison,Non-Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,22,7,14,13,39
2012,Montgomery,Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,22,19,25,7,18
2012,Montgomery,Dual,Mental Diseases And Disorders,Major Personality Disorders,22,19,29,18,42
2012,Montgomery,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,22,9,12,8,12
2012,Niagara,Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,22,6,9,11,39
2012,Niagara,Dual,Substance Abuse,Delirium Tremens,22,21,49,16,66
2012,Oneida,Dual,Diseases And Disorders Of The Cardiovascular System,Other Major Congenital Heart Diagnoses Except Valvular,22,9,11,8,19
2012,Orleans,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,22,11,14,5,9
2012,Otsego,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,22,11,20,9,23
2012,Otsego,Non-Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,22,6,11,12,33
2012,Rensselaer,Non-Dual,Diseases And Disordes Of The Respiratory System,Tracheostomy Status,22,17,55,13,41
2012,Richmond,Dual,Diseases And Disordes Of The Respiratory System,Chronic Bronchitis,22,8,16,6,19
2012,Schenectady,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Complex Cyanotic and Major Cardiac Septal Anomalies,22,13,18,11,20
2012,Schuyler,Dual,Diabetes Mellitus,Diabetic Neuropathy,22,12,15,11,41
2012,Schuyler,Non-Dual,Diabetes Mellitus,Diabetic Neuropathy,22,10,38,15,47
2012,St Lawrence,Dual,Diseases And Disordes Of The Respiratory System,Chronic Bronchitis,22,9,11,8,42
2012,Tioga,Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,22,16,33,1,2
2012,Tompkins,Dual,Substance Abuse,Drug Abuse - Cannabis/NOS/NEC,22,16,21,4,9
2012,Tompkins,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,22,16,42,10,25
2012,Ulster,Dual,Substance Abuse,Delirium Tremens,22,21,38,15,79
2012,Warren,Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,22,19,36,11,30
2012,Warren,Dual,Substance Abuse,Cocaine Abuse,22,10,22,8,39
2012,Wayne,Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,22,17,41,12,28
2012,Wayne,Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,22,14,22,10,38
2012,Wayne,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,22,14,24,13,43
2012,Westchester,Dual,Diseases And Disorders Of The Cardiovascular System,Ventricular and Atrial Septal Defects,22,14,22,7,14
2012,Albany,Non-Dual,Newborns And Other Neonates,Prematurity - Birthweight < 750 Grams,23,15,35,12,26
2012,Allegany,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,23,9,10,15,42
2012,Broome,Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Graft Atherosclerosis,23,17,32,4,6
2012,Broome,Dual,Substance Abuse,Opioid Abuse - Continuous,23,21,33,17,142
2012,Broome,Non-Dual,Diseases And Disordes Of The Respiratory System,Major Respiratory Anomalies,23,16,40,13,31
2012,Cayuga,Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,23,17,30,14,71
2012,Cayuga,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,23,20,38,16,59
2012,Chemung,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,23,10,14,12,30
2012,Chemung,Dual,Diseases And Disordes Of The Respiratory System,Chronic Bronchitis,23,7,9,9,25
2012,Chenango,Dual,Diabetes Mellitus,Diabetic Retinopathy,23,8,11,11,43
2012,Chenango,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,23,9,15,12,24
2012,Clinton,Dual,Diabetes Mellitus,Diabetic Nephropathy,23,19,33,10,23
2012,Clinton,Non-Dual,Mental Diseases And Disorders,Eating Disorder,23,5,8,15,63
2012,Columbia,Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",23,3,7,3,4
2012,Columbia,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,23,12,21,17,46
2012,Cortland,Dual,Diabetes Mellitus,Diabetic Retinopathy,23,16,37,4,8
2012,Cortland,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,23,15,50,13,50
2012,Delaware,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,23,19,34,17,55
2012,Dutchess,Dual,Diabetes Mellitus,Diabetic Ketoacidosis,23,18,31,8,20
2012,Dutchess,Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,23,23,42,16,95
2012,Essex,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,23,10,28,15,63
2012,Essex,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,23,17,44,14,76
2012,Essex,Non-Dual,Substance Abuse,Cocaine Abuse,23,14,30,14,41
2012,Franklin,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,23,14,38,16,55
2012,Fulton,Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,23,22,36,10,15
2012,Fulton,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,23,17,47,11,57
2012,Greene,Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,23,21,33,5,8
2012,Greene,Non-Dual,HIV Infection,HIV Disease,23,7,14,10,25
2012,Greene,Non-Dual,Substance Abuse,Drug Abuse Related Diagnoses,23,8,28,13,67
2012,Hamilton,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,23,4,6,8,13
2012,Jefferson,Dual,Substance Abuse,Opioid Abuse,23,18,30,16,69
2012,Jefferson,Non-Dual,Diabetes Mellitus,Diabetic Nephropathy,23,9,17,13,39
2012,Jefferson,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Ventricular and Atrial Septal Defects,23,16,24,9,16
2012,Jefferson,Non-Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,23,6,12,18,49
2012,Livingston,Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,23,2,2,10,39
2012,Livingston,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,23,10,20,16,39
2012,Madison,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,23,20,31,7,23
2012,Madison,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,23,8,12,15,57
2012,Monroe,Dual,Substance Abuse,Drug Abuse Related Diagnoses,23,16,28,8,34
2012,Montgomery,Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,23,16,23,7,11
2012,Montgomery,Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",23,10,12,10,31
2012,Montgomery,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,23,12,39,17,56
2012,Montgomery,Non-Dual,Substance Abuse,Delirium Tremens,23,20,52,14,54
2012,Nassau,Non-Dual,Diseases And Disorders Of The Cardiovascular System,"Mechanical Complication of Cardiac Devices, Implants and Grafts",23,16,39,10,18
2012,Oneida,Dual,Substance Abuse,Opioid Abuse - Continuous,23,19,39,16,91
2012,Ontario,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,23,7,12,7,17
2012,Ontario,Dual,Substance Abuse,Cocaine Abuse,23,17,26,15,41
2012,Ontario,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,23,19,47,14,66
2012,Orleans,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,23,18,52,12,49
2012,Oswego,Non-Dual,Diabetes Mellitus,Diabetic Ketoacidosis,23,21,51,12,75
2012,Otsego,Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,23,13,18,13,48
2012,Putnam,Non-Dual,Substance Abuse,Delirium Tremens,23,23,64,17,70
2012,Rockland,Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,23,4,6,7,19
2012,Saratoga,Non-Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,23,12,29,14,35
2012,Saratoga,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Ventricular and Atrial Septal Defects,23,15,27,14,22
2012,Schoharie,Non-Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,23,11,17,14,22
2012,Schuyler,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,23,14,25,11,35
2012,Schuyler,Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,23,18,23,10,33
2012,Seneca,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,23,9,12,9,19
2012,Seneca,Non-Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,23,8,53,14,61
2012,Steuben,Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,23,12,18,12,44
2012,Steuben,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,23,13,19,19,65
2012,Steuben,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,23,16,30,16,48
2012,Steuben,Non-Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,23,13,37,13,74
2012,Suffolk,Dual,Substance Abuse,Drug Abuse Related Diagnoses,23,19,87,16,103
2012,Suffolk,Non-Dual,Diseases And Disorders Of The Cardiovascular System,"Mechanical Complication of Cardiac Devices, Implants and Grafts",23,19,43,13,31
2012,Tioga,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Other Cardiovascular Diagnoses - Major,23,12,20,1,1
2012,Tioga,Non-Dual,Substance Abuse,Cocaine Abuse,23,14,29,11,22
2012,Tioga,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,23,21,47,13,53
2012,Tompkins,Dual,Diabetes Mellitus,Other Diabetic Complications,23,11,18,1,2
2012,Tompkins,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,23,18,31,12,29
2012,Tompkins,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,23,16,39,14,43
2012,Washington,Dual,Substance Abuse,Opioid Abuse,23,9,12,12,33
2012,Washington,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,23,12,28,16,79
2012,Wayne,Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,23,7,10,6,13
2012,Wyoming,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,23,14,42,13,78
2012,Albany,Dual,Diabetes Mellitus,Diabetic Ketoacidosis,24,19,30,13,40
2012,Allegany,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,24,14,31,13,38
2012,Allegany,Non-Dual,Substance Abuse,Delirium Tremens,24,24,54,17,62
2012,Bronx,Non-Dual,Newborns And Other Neonates,Extreme Prematurity - Birthweight NOS,24,20,59,16,31
2012,Cayuga,Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",24,11,15,7,56
2012,Cayuga,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,24,14,28,14,33
2012,Chenango,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Valvular Disorders,24,17,42,18,67
2012,Columbia,Dual,HIV Infection,HIV Disease,24,8,10,9,16
2012,Cortland,Dual,Diabetes Mellitus,Diabetic Nephropathy,24,14,36,9,16
2012,Cortland,Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,24,19,45,7,10
2012,Delaware,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,24,7,8,11,18
2012,Dutchess,Dual,Diseases And Disordes Of The Respiratory System,Status Asthmaticus,24,18,24,13,70
2012,Essex,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,24,21,54,18,93
2012,Franklin,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,24,19,70,20,170
2012,Fulton,Dual,Mental Diseases And Disorders,Schizophrenia - Exacerbation,24,22,33,12,26
2012,Fulton,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,24,11,28,18,46
2012,Fulton,Non-Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,24,6,10,15,68
2012,Fulton,Non-Dual,Substance Abuse,Drug Abuse Related Diagnoses,24,19,39,21,96
2012,Genesee,Dual,Mental Diseases And Disorders,Major Personality Disorders,24,21,47,18,102
2012,Genesee,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,24,7,19,12,73
2012,Cattaraugus,Non-Dual,Substance Abuse,Cocaine Abuse - Continuous,25,24,65,20,85
2012,Jefferson,Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",24,12,20,10,24
2012,Lewis,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,24,11,15,12,54
2012,Livingston,Dual,Diseases And Disorders Of The Cardiovascular System,Angina and Ischemic Heart Disease,24,15,22,7,24
2012,Livingston,Dual,Diseases And Disorders Of The Cardiovascular System,Other Major Congenital Heart Diagnoses Except Valvular,24,5,8,4,11
2012,Madison,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,24,9,13,13,38
2012,Madison,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,24,16,51,12,64
2012,Nassau,Dual,Substance Abuse,Cocaine Abuse - Continuous,24,24,89,6,9
2012,Onondaga,Dual,Substance Abuse,Cocaine Abuse - Continuous,24,23,65,12,55
2012,Orange,Dual,Diabetes Mellitus,Diabetic Ketoacidosis,24,19,46,15,27
2012,Orleans,Dual,Diseases And Disorders Of The Cardiovascular System,Other Cardiovascular Diagnoses - Major,24,19,27,10,26
2012,Oswego,Dual,Substance Abuse,Cocaine Abuse,24,11,24,15,44
2012,Otsego,Dual,Mental Diseases And Disorders,Major Personality Disorders,24,15,18,12,27
2012,Rensselaer,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Defibrillator Status,24,13,24,14,24
2012,Rockland,Dual,Substance Abuse,Other Significant Drug Abuse,24,13,41,10,35
2012,Rockland,Non-Dual,Mental Diseases And Disorders,Schizophrenia - Exacerbation,24,17,55,14,70
2012,Saratoga,Dual,Substance Abuse,Delirium Tremens,24,23,59,16,82
2012,Saratoga,Non-Dual,Mental Diseases And Disorders,Eating Disorder,24,7,18,8,17
2012,Schuyler,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,24,15,18,9,19
2012,Schuyler,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,24,19,35,14,45
2012,Schuyler,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,24,14,27,14,42
2012,St Lawrence,Non-Dual,Diseases And Disordes Of The Respiratory System,Status Asthmaticus,24,9,15,17,58
2012,Suffolk,Dual,Mental Diseases And Disorders,Schizophrenia - Catatonia,24,11,24,9,37
2012,Sullivan,Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,24,13,26,7,20
2012,Sullivan,Non-Dual,Diabetes Mellitus,Diabetic Retinopathy,24,6,21,8,25
2012,Sullivan,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,24,13,23,11,28
2012,Tompkins,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,24,13,29,12,48
2012,Warren,Dual,Mental Diseases And Disorders,Conduct Disorder - Severe,24,4,5,7,18
2012,Washington,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Congestive Heart Failure,24,14,23,14,31
2012,Westchester,Dual,Mental Diseases And Disorders,Eating Disorder,24,9,13,8,10
2012,Allegany,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,25,10,11,16,51
2012,Allegany,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,25,20,40,13,48
2012,Allegany,Non-Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,25,22,38,15,54
2012,Bronx,Dual,Mental Diseases And Disorders,Schizophrenia - Catatonia,25,15,31,7,12
2012,Broome,Non-Dual,Diseases And Disordes Of The Respiratory System,Tracheostomy Status,25,21,63,10,17
2012,Cattaraugus,Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,25,14,26,7,16
2012,Cayuga,Dual,Substance Abuse,Chronic Alcohol Abuse,25,20,43,17,72
2012,Cayuga,Non-Dual,HIV Infection,HIV Disease,25,8,19,12,33
2012,Cayuga,Non-Dual,Substance Abuse,Delirium Tremens,25,24,51,17,54
2012,Chenango,Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,25,18,24,9,41
2012,Chenango,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,25,13,28,12,21
2012,Clinton,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,25,8,12,12,68
2012,Cortland,Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,25,20,40,5,12
2012,Cortland,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,25,22,46,4,7
2012,Delaware,Dual,Diabetes Mellitus,Diabetic Neuropathy,25,14,17,12,18
2012,Delaware,Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,25,11,13,16,54
2012,Essex,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,25,13,53,15,86
2012,Essex,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,25,18,31,19,49
